Team,Model,Overall Increase,Translation Metric Increase,BLEU-2,BLEU-4,ROUGE-1,ROUGE-2,ROUGE-L,METEOR
Insilico Medicine,Nach0, 27.08,6.37,73.81,53.04,80.06,60.17,57.5,77.45
qizhipei,BioT5+_large_voting, 14.66,6.45,75.58,54.77,79.41,59.89,57.46,75.43
protonunfold,SciMind, 12.39,5.77,75.66,54.98,78.24,58.42,56.34,74.76
NLPeople,Ensembled, 12.3,5.68,75.54,54.83,78.1,58.47,56.37,74.57
hecao,bioagent, 10.95,5.57,74.11,53.84,78.73,59.38,57.06,74.08
xwk89,mistral_4b9_e1, 10.8,5.56,74.38,54.08,78.49,59.49,56.82,73.91
mengmeng,Mistral, 10.37,5.48,75.04,54.56,78.1,58.81,56.42,73.73
langmolecules,Meditron, 10.34,5.47,75.16,54.72,77.97,58.75,56.33,73.69
NLPeople,Rank_model_1, 9.94,4.8,74.73,54.1,77.3,57.7,55.53,73.26
dimitris,ALMol~10%DataTrained, 9.61,4.27,74.71,54.34,76.43,56.54,54.66,72.76
xygui,MDEG, 9.43,2.96,73.98,53.33,75.08,54.39,52.58,72.21
danielshao,SMol+LPM, 7.83,2.7,72.2,52.02,74.76,56.1,53.34,71.57
xwk89,mistral_e1, 7.45,3.46,73.18,53.24,75.29,56.74,54.39,71.75
duongttr,Mol2Lang-VLM, 4.52,4.11,73.43,53.19,76.72,57.67,55.43,72.05
langmolecules,MolT5-Large, 4.22,3.64,73.63,53.2,75.79,56.47,54.42,72.16
bluesky333,phi3-knowchem-sft-beam1, 2.87,0.81,70.56,50.83,72.61,53.61,52.01,69.01
langmolecules,MolT5-Base, 1.06,1.2,69.83,50.56,73.34,54.55,52.86,69.86
langmolecules,MolT5-Small, 0.0,0.0,66.82,48.29,72.8,54.44,53.33,68.14
guiyike,yike, -16.64,-43.45,12.8,6.37,25.9,13.83,24.1,20.11
